,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
349,Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),4.1,4.5,3.6,3.3,27,male,early adulthood
350,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.3,3.4,3.9,3.1,34,female,early adulthood
351,Sometimes true (3),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),3.1,3.0,2.7,2.4,26,female,early adulthood
352,Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),2.4,3.6,3.3,1.2,21,female,early adulthood
353,Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),3.8,4.6,2.6,3.0,45,female,late middle age
354,Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),4.1,3.2,3.4,3.6,17,female,adolescence
355,Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),2.5,3.9,2.4,2.7,22,female,early adulthood
356,Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),,Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),,Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),4.0,,,3.6,40,female,early middle age
357,Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),4.4,4.4,1.8,3.2,25,female,early adulthood
358,Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),2.5,5.0,4.1,2.6,35,male,early middle age
359,Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),4.7,4.4,3.8,3.8,19,female,early adulthood
360,Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),3.4,4.4,3.6,3.0,56,female,late middle age
361,Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.8,2.5,2.2,3.1,36,male,early middle age
362,Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),3.6,3.2,2.0,1.9,42,female,early middle age
363,Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),3.4,3.0,3.1,2.6,56,female,late middle age
